Country,year,Freedom
Malaysia,2023,0.965
Cambodia,2023,0.961
Vietnam,2023,0.956
Finland,2023,0.943
Kyrgyzstan,2023,0.943
El Salvador,2023,0.942
Norway,2023,0.938
Costa Rica,2023,0.933
Philippines,2023,0.932
Slovenia,2023,0.931
Uzbekistan,2023,0.927
Sweden,2023,0.926
Thailand,2023,0.926
Denmark,2023,0.923
Bangladesh,2023,0.919
Iceland,2023,0.918
Estonia,2023,0.915
Luxembourg,2023,0.911
Nicaragua,2023,0.906
Czechia,2023,0.906
Laos,2023,0.904
Uruguay,2023,0.904
Ireland,2023,0.903
Paraguay,2023,0.902
Kazakhstan,2023,0.901
Indonesia,2023,0.900
Kosovo,2023,0.900
India,2023,0.900
Kuwait,2023,0.898
Switzerland,2023,0.891
United Arab Emirates,2023,0.886
Honduras,2023,0.878
Georgia,2023,0.877
New Zealand,2023,0.877
Australia,2023,0.876
United Kingdom,2023,0.874
Austria,2023,0.874
Guatemala,2023,0.873
Albania,2023,0.872
Belgium,2023,0.870
Mexico,2023,0.870
Brazil,2023,0.870
Bahrain,2023,0.869
Mozambique,2023,0.867
Dominican Republic,2023,0.867
Tanzania,2023,0.862
Singapore,2023,0.861
Zambia,2023,0.854
Panama,2023,0.852
Malta,2023,0.851
Romania,2023,0.849
Uganda,2023,0.848
Netherlands,2023,0.847
Bosnia and Herzegovina,2023,0.847
Canada,2023,0.847
Portugal,2023,0.847
Germany,2023,0.845
Moldova,2023,0.844
Ghana,2023,0.834
Argentina,2023,0.832
Bolivia,2023,0.832
Azerbaijan,2023,0.829
Colombia,2023,0.823
Morocco,2023,0.821
Armenia,2023,0.819
Latvia,2023,0.816
Chile,2023,0.815
Serbia,2023,0.807
Montenegro,2023,0.799
Senegal,2023,0.798
Israel,2023,0.797
Mauritius,2023,0.797
Taiwan Province of China,2023,0.795
China,2023,0.793
Benin,2023,0.786
Spain,2023,0.779
Japan,2023,0.777
Mali,2023,0.776
France,2023,0.776
Poland,2023,0.775
Ukraine,2023,0.772
Niger,2023,0.767
Nepal,2023,0.765
South Korea,2023,0.762
Libya,2023,0.762
Peru,2023,0.757
Venezuela,2023,0.757
Hungary,2023,0.755
Jordan,2023,0.754
Bulgaria,2023,0.754
Sri Lanka,2023,0.754
Slovakia,2023,0.753
Ivory Coast,2023,0.753
Russia,2023,0.750
South Africa,2023,0.748
Guinea,2023,0.743
Botswana,2023,0.741
Cameroon,2023,0.739
Malawi,2023,0.738
North Macedonia,2023,0.738
Kenya,2023,0.736
Zimbabwe,2023,0.735
Lithuania,2023,0.734
Ecuador,2023,0.731
Cyprus,2023,0.730
Gambia,2023,0.727
Gabon,2023,0.722
United States,2023,0.721
Nigeria,2023,0.720
Liberia,2023,0.720
Burkina Faso,2023,0.715
State of Palestine,2023,0.708
Congo (Brazzaville),2023,0.702
Mongolia,2023,0.699
Italy,2023,0.699
Myanmar,2023,0.695
Sierra Leone,2023,0.694
Congo (Kinshasa),2023,0.687
Namibia,2023,0.674
Togo,2023,0.665
Pakistan,2023,0.661
Iraq,2023,0.658
Ethiopia,2023,0.631
Egypt,2023,0.625
Iran,2023,0.615
Greece,2023,0.589
Chad,2023,0.586
Yemen,2023,0.583
Croatia,2023,0.573
Mauritania,2023,0.540
Türkiye,2023,0.523
Madagascar,2023,0.504
Lebanon,2023,0.499
Tunisia,2023,0.482
Comoros,2023,0.452
Afghanistan,2023,0.228
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
